"id","destination","jurisdiction","step_rise_min","step_rise_max","going_min","going_max","blondel_min","blondel_max","other_calcs","article","main_source","url"
"US_ADA_public_stairs","State and local government facilities, public accommodations, and commercial facilities (ADA)","United States",10,18,28,NA,NA,NA,NA,"ADA 2010 - Articles 504.2","ADA Standards for accessible design (2010)","https://www.ada.gov/law-and-regs/design-standards/2010-stds/#inPageResult4#section95"
"US_ADA_pool_stairs","Pool stairs (ADA)","United States",NA,NA,28,NA,NA,NA,NA,"ADA 2010 - Articles 1009.6.1","ADA Standards for accessible design (2010)","https://www.ada.gov/law-and-regs/design-standards/2010-stds/#inPageResult13#section144"
"US_ADA_pool_transfer_steps","Pool transfer steps (ADA)","United States",NA,NA,35.5,43,NA,NA,NA,"ADA 2010 - Articles 1009.5.4","ADA Standards for accessible design (2010)","https://www.ada.gov/law-and-regs/design-standards/2010-stds/#inPageResult13#section144"
"US_IBC_means_of_egress","Means of egress (IBC)","United States",NA,20.3,22.9,NA,NA,NA,NA,"IBS 2021 - Chapter 10, articles 1011.5.2","International Building Code 2021 (IBC)","https://codes.iccsafe.org/content/IBC2018P6/chapter-10-means-of-egress#IBC2018P6_Ch10_Sec1011.5.2"
"US_IBC_dwelling_units","Dwelling units (IBC)","United States",NA,19.7,25.4,NA,NA,NA,NA,"IBS 2021 - Chapter 10, articles 1011.5.2","International Building Code 2021 (IBC)","https://codes.iccsafe.org/content/IBC2018P6/chapter-10-means-of-egress#IBC2018P6_Ch10_Sec1011.5.2"
"US_IBC_guard_towers_observation_stations_and_control_rooms","Guard towers, observation stations and control rooms (IBC)","United States",10.2,17.8,27.9,NA,NA,NA,NA,"IBS 2021 - Chapter 10, articles 1011.5.2","International Building Code 2021 (IBC)","https://codes.iccsafe.org/content/IBC2018P6/chapter-10-means-of-egress#IBC2018P6_Ch10_Sec1011.5.2"
"US_IRC_means_of_egress","Means of egress (IRC)","United States",NA,19.6,25.4,NA,NA,NA,NA,"IRC 2024 - Chapter 3, articles R318.7","International Residential Code 2024 (IRC)","https://codes.iccsafe.org/content/IRC2024P2/chapter-3-building-planning"
"US_IRC_sleeping_loft","Sleeping loft","United States",17.8,30.5,NA,NA,NA,NA,"1. The trad depth shall be 508 mm minus four-thirds of the riser height OR 2. The riser height shall be 381 mm minus three-fourths of the tread depth","IRC 2024 - Chapter 3, articles R315.5","International Residential Code 2024 (IRC)","https://codes.iccsafe.org/content/IRC2024P2/chapter-3-building-planning"
"FR_collective_housing_common_areas","Common areas of collective residential buildings and individual houses","France",NA,17,28,NA,NA,NA,NA,"Arrêté du 24 décembre 2015, article 6-1 [building regulations in France]","Building regulations in France","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000031692481"
"FR_private_dwelling_interior","Interiors of dwellings","France",NA,18,24,NA,NA,NA,NA,"Arrêté du 24 décembre 2015, article 12-1 [building regulations in France]","Building regulations in France","https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000031830909"
"FR_ERP_accessibility","Establishments open to the public and publicly accessible facilities","France",NA,16,28,NA,NA,NA,NA,"Arrêté du 20 avril 2017, article 7-1 [building regulations in France]","Building regulations in France","https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000034485956"
"FR_workplace_accessibility","Workplaces: occasional use by persons with disabilities","France",NA,16,28,NA,NA,NA,NA,"Arrêté du 27 juin 1994, article 4 [building regulations in France]","Building regulations in France","https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006679776"
"FR_public_circulation_stairs","Public circulation","France",13,17,36,36,60,64,NA,"Arrêté du 23 mars 1965, article 3 [former building regulations in France]","Building regulations in France","https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000020272650/"
"ISO_machinery_access","Access to machinery","International",15,20,21,31,60,66,"According to the ISO 14122-3:2016, if the stair angle is between 60° and 75° rise min will be 23 cm and rise max will be 30 cm","ISO 14122-3:2016 / NF EN ISO 14122-3:2017","ISO standards","https://www.boutique.afnor.org/fr-fr/norme/nf-en-iso-141223"
"UK_private","Private stair","United Kingdom",15,22,22,30,55,70,NA,"Approved Document K [building regulations in England]","Building regulations in England","https://www.gov.uk/government/publications/protection-from-falling-collision-and-impact-approved-document-k"
"UK_utility","Utility stair","United Kingdom",15,19,25,40,55,70,NA,"Approved Document K [building regulations in England]","Building regulations in England","https://www.gov.uk/government/publications/protection-from-falling-collision-and-impact-approved-document-k"
"UK_general_access","General access stair","United Kingdom",15,17,25,40,55,70,NA,"Approved Document K [building regulations in England]","Building regulations in England","https://www.gov.uk/government/publications/protection-from-falling-collision-and-impact-approved-document-k"
"academic_compromise","Generic stair principle (academic compromise)",NA,16,18.3,22.9,NA,NA,NA,NA,"p. 39","Templer, John A. The Staircase: Studies of Hazards, Falls, and Safer Design. 2. print. MIT Press, 1992. https://doi.org/10.7551/mitpress/6434.001.0001.","https://doi.org/10.7551/mitpress/6434.001.0001"
"etiological_studies","Generic stair principle (etiological studies)",NA,NA,19.1,22.9,NA,NA,NA,NA,"p. 38","Templer, John A. The Staircase: Studies of Hazards, Falls, and Safer Design. 2. print. MIT Press, 1992. https://doi.org/10.7551/mitpress/6434.001.0001.","https://doi.org/10.7551/mitpress/6434.001.0001"
"feet_accommodation","Generic stair principle (adequate foot accommodation)",NA,NA,NA,27.9,NA,NA,NA,NA,"p. 38","Templer, John A. The Staircase: Studies of Hazards, Falls, and Safer Design. 2. print. MIT Press, 1992. https://doi.org/10.7551/mitpress/6434.001.0001.","https://doi.org/10.7551/mitpress/6434.001.0001"
